종류	메뉴명	사원명	결제수량	총결제금액	결제일	
한식	돌솥비빔밥	강해준	1	4500	2016-10-03	
한식	김치	강해준	1	1000	2016-10-03	
한식	된장찌개	김동식	2	9000	2016-10-03	
한식	매콤육개장	김동식	2	8000	2016-10-03	
한식	고등어구이	김부련	1	4000	2016-10-03	
한식	불고기	김부련	1	5500	2016-10-03	
한식	돌솥비빔밥	김부련	1	4500	2016-10-03	
한식	공기밥	안영이	1	1000	2016-10-03	
한식	고기만두	안영이	1	4000	2016-10-03	
한식	계란찜	안영이	1	3500	2016-10-03	
한식	갈비탕	오상식	1	6000	2016-10-03	
한식	김치	오상식	1	1000	2016-10-03	
양식	돈까스	마복렬	1	5500	2016-10-03	
양식	불고기피자	마복렬	1	7000	2016-10-03	
양식	안심스테이크	마복렬	1	9000	2016-10-03	
양식	치즈스파게티	마복렬	1	9000	2016-10-03	
일식	장어구이정식	유형기	1	6000	2016-10-03	
일식	라멘	유형기	1	5000	2016-10-03	
중식	쟁반짬뽕	최영후	2	10000	2016-10-03	
한식	공기밥	고동호	1	1000	2016-10-03	
한식	불고기	고동호	1	5500	2016-10-03	
한식	김치	고동호	1	1000	2016-10-03	
중식	쟁반짬뽕	선지영	2	10000	2016-10-03	
중식	해물볶음밥	선지영	1	7000	2016-10-03	
양식	불고기피자	마복렬	5	35000	2016-10-03	
양식	간장치킨	마복렬	1	8000	2016-10-03	
일식	도미구이정식	장그래	2	11000	2016-10-03	
일식	라멘	장그래	1	5000	2016-10-03	
중식	팔보채	강해준	2	11000	2016-10-03	
한식	공기밥	오상식	1	1000	2016-10-03	
한식	계란찜	오상식	1	3500	2016-10-03	
한식	고등어구이	오상식	1	4000	2016-10-03	
한식	부대찌개	고동호	1	4500	2016-10-03	
한식	즉석떡볶이	고동호	1	3000	2016-10-03	
한식	설렁탕	고동호	1	5000	2016-10-03	
중식	새우튀김	성준식	2	9000	2016-10-03	
중식	라조육	성준식	1	7000	2016-10-03	
중식	팔보채	성준식	2	11000	2016-10-03	
양식	프라이드치킨	하성준	2	15000	2016-10-03	
한식	부대찌개	정희석	1	4500	2016-10-03	
한식	돼지고기두루치기	정희석	1	5000	2016-10-03	
양식	치킨까스	신다인	1	6000	2016-10-03	
중식	자장면	장백기	1	5000	2016-10-03	
한식	순두부찌개	박용구	1	6000	2016-10-03	
한식	김밥	박용구	1	3000	2016-10-03	
일식	라멘	박종식	1	5000	2016-10-03	
일식	새우튀김정식	박종식	1	6000	2016-10-03	
일식	회덮밥	박종식	1	5000	2016-10-03	
일식	모듬초밥	박종식	1	5500	2016-10-03	
일식	장어구이정식	박종식	1	6000	2016-10-03	
